Gene_accession no.	Gene	Group	Family	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
aadA10_2_AM087405	aadA10	aad	Aminoglycoside	Aminoglycoside	Streptomycin	16495246	Enzymatic modification	curated	
aadA7_2_AB114632	aadA7	aad	Aminoglycoside	Aminoglycoside	Streptomycin	15117923	Enzymatic modification	curated	
aadA2_1_NC_010870	aadA2	aad	Aminoglycoside	Aminoglycoside	Streptomycin	17526756	Enzymatic modification	curated	
aadD_2_M19465	aadD	aad	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	3010356	Enzymatic modification	Alternative name ant(4')-Ia, curated	
aph(2'')-Ib_2_AF207840	aph(2'')-Ib	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	10991878	Enzymatic modification	curated	
aph(7'')-Ia_1_X03615	aph(7'')-Ia	aph	Aminoglycoside	Aminoglycoside		3005976	Enzymatic modification	Alternative name hygB, curated	
aph(9)-Ia_2_CR628337	aph(9)-Ia	aph	Aminoglycoside	Aminoglycoside		15467720	Enzymatic modification	curated	
aph(6)-Ia_2_Y00459	aph(6)-Ia	aph	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	Alternative name aphD, curated, strA	
aph(6)-Id_1_M28829	aph(6)-Id	aph	Aminoglycoside	Aminoglycoside	Streptomycin	2653965	Enzymatic modification	Alternative name strB, curated	
aph(6)-Id_3_AB109805	aph(6)-Id	aph	Aminoglycoside	Aminoglycoside	Streptomycin	14711528	Enzymatic modification	Alternative name strB, curated	
aph(6)-Id_4_CP000971	aph(6)-Id	aph	Aminoglycoside	Aminoglycoside	Streptomycin	18708504	Enzymatic modification	Alternative name strB, curated	
aph(6)-Id_5_18676889	aph(6)-Id	aph	Aminoglycoside	Aminoglycoside	Streptomycin	18676889	Enzymatic modification	Alternative name strB, curated	
aph(3'')-Ia_2_AP009493	aph(3'')-Ia	aph	Aminoglycoside	Aminoglycoside	Streptomycin	18310036	Enzymatic modification	Alternative name aphE, aphD2, curated	
aph(3'')-Ia_3_M37378	aph(3'')-Ia	aph	Aminoglycoside	Aminoglycoside	Streptomycin	2844130	Enzymatic modification	Alternative name aphE, aphD2, curated	
aph(3'')-Ib_1_M28829	aph(3'')-Ib	aph	Aminoglycoside	Aminoglycoside	Streptomycin	2653965	Enzymatic modification	Alternative name strA, curated, orfH	
aph(3'')-Ib_3_AF321550	aph(3'')-Ib	aph	Aminoglycoside	Aminoglycoside	Streptomycin	12029529	Enzymatic modification	Alternative name strA, curated, orfH	
aph(3'')-Ib_4_AF313472	aph(3'')-Ib	aph	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	Alternative name strA, curated, orfH	
aadE-Cc_1_CP013733	aadE-Cc	aad	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_2_JF826500	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	22271862	Enzymatic modification	curated	
ant(2'')-Ia_3_X74412	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_4_AF458082	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	12384364	Enzymatic modification	curated	
ant(2'')-Ia_5_AY139594	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	19719593	Enzymatic modification	curated	
ant(2'')-Ia_6_AJ871915	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_7_DQ018384	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	15837385	Enzymatic modification	curated	
ant(2'')-Ia_8_AY920928	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	16048994	Enzymatic modification	curated	
ant(2'')-Ia_9_HM367610	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	21873033	Enzymatic modification	curated	
ant(2'')-Ia_10_HM367617	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	21873033	Enzymatic modification	curated	
ant(2'')-Ia_11_HM367620	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	21873033	Enzymatic modification	curated	
ant(2'')-Ia_12_HQ880250	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_13_DQ176450	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	16304199	Enzymatic modification	curated	
ant(2'')-Ia_14_DQ266447	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_15_EF205594	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_16_HQ386848	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_17_JTTZ01000034	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_19_GQ466184	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(2'')-Ia_20_AY139599	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	19719593	Enzymatic modification	curated	
ant(2'')-Ia_1_X04555	ant(2'')-Ia	ant	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	3024112	Enzymatic modification	Alternative name aadB, curated	
aph(3')-VI_1_KC170992	aph(3')-VI	aph	Aminoglycoside	Aminoglycoside	Amikacin	23612200	Enzymatic modification	curated	
aph(3')-XV_2_GQ626879	aph(3')-XV	aph	Aminoglycoside	Aminoglycoside		20368407	Enzymatic modification	curated	
aph(3')-XV_3_EU165039	aph(3')-XV	aph	Aminoglycoside	Aminoglycoside		19049645	Enzymatic modification	curated	
aph(3')-IIIa_1_AF330699	aph(3')-IIIa	aph	Aminoglycoside	Aminoglycoside	Amikacin	11600397	Enzymatic modification	curated	
aph(3')-IIIa_2_AJ490186	aph(3')-IIIa	aph	Aminoglycoside	Aminoglycoside	Amikacin	unpublished	Enzymatic modification	curated	
aph(3')-IIIa_3_AB247327	aph(3')-IIIa	aph	Aminoglycoside	Aminoglycoside	Amikacin	17021204	Enzymatic modification	curated	
aph(3')-Va_2_AB211959	aph(3')-Va	aph	Aminoglycoside	Aminoglycoside		16506694	Enzymatic modification	curated	
aph(3')-Vb_2_AJ744850	aph(3')-Vb	aph	Aminoglycoside	Aminoglycoside		unpublished	Enzymatic modification	curated	
aph(3')-IIa_2_V00618	aph(3')-IIa	aph	Aminoglycoside	Aminoglycoside		6295884	Enzymatic modification	curated	
aph(3')-IIb_2_CP006832	aph(3')-IIb	aph	Aminoglycoside	Aminoglycoside		24336371	Enzymatic modification	curated	
aph(3')-Ia_2_EU287476	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		21393370	Enzymatic modification	curated	
aph(3')-Ia_3_EF015636	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		17485180	Enzymatic modification	curated	
aph(3')-Ia_4_AF498082	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		unpublished	Enzymatic modification	curated	
aph(3')-Ia_5_AP004237	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		12029035	Enzymatic modification	curated	
aph(3')-Ia_6_L05392	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		1325061	Enzymatic modification	curated	
aph(3')-Ia_7_X62115	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		1662755	Enzymatic modification	curated	
aph(3')-Ia_8_Y00452	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		2823223	Enzymatic modification	curated	
aph(3')-Ia_9_EU722351	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		21235404	Enzymatic modification	curated	
aph(3')-Ia_10_EU855787	aph(3')-Ia	aph	Aminoglycoside	Aminoglycoside		19075060	Enzymatic modification	curated	
aph(2'')-Ih_1_KF652096	aph(2'')-Ih	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aph(2'')-Ig_1_CP004067	aph(2'')-Ig	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	23959310	Enzymatic modification	curated	
aph(2'')-If_1_KF652097	aph(2'')-If	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aph(2'')-If_2_AY701528	aph(2'')-If	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	15917546	Enzymatic modification	curated	
aph(2'')-Ia_2_AP009486	aph(2'')-Ia	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	19074389	Enzymatic modification	Bifunctional aac(6')-Ie-aph(2'')-Ia, curated	
aph(2'')-Ia_3_AJ536195	aph(2'')-Ia	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	12716781	Enzymatic modification	Bifunctional aac(6')-Ie-aph(2'')-Ia, curated	
aph(2'')-Ib_3_KF652098	aph(2'')-Ib	aph	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
ant(6)-Ia_3_KF864551	ant(6)-Ia	ant	Aminoglycoside	Aminoglycoside	Streptomycin	17395262	Enzymatic modification	Alternative name ant6, aadE, curated	
aac(2')-Ia_1_L06156	aac(2')-Ia	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	8407825	Enzymatic modification	curated	
aac(2')-Ib_1_U41471	aac(2')-Ib	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	8891143	Enzymatic modification	curated	
aac(2')-Ic_1_U72714	aac(2')-Ic	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(2')-Id_1_U72743	aac(2')-Id	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(2')-Ie_1_NC011896	aac(2')-Ie	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	19881526	Enzymatic modification	curated	
aac(3)-I_1_AJ877225	aac(3)-I	aac	Aminoglycoside	Aminoglycoside	Gentamicin	15995187	Enzymatic modification	curated	
aac(3)-Ia_1_X15852	aac(3)-Ia	aac	Aminoglycoside	Aminoglycoside	Gentamicin	2549372	Enzymatic modification	curated	
aac(3)-Ib_1_L06157	aac(3)-Ib	aac	Aminoglycoside	Aminoglycoside	Gentamicin	7486920	Enzymatic modification	curated	
aac(3)-Ib-aac(6')-Ib'_1_AF355189	aac(3)-Ib-aac(6')-Ib'	aac	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	11850242	Enzymatic modification	curated	
aac(3)-Ic_1_AJ511268	aac(3)-Ic	aac	Aminoglycoside	Aminoglycoside	Gentamicin	12709352	Enzymatic modification	curated	
aac(3)-Id_1_AB114632	aac(3)-Id	aac	Aminoglycoside	Aminoglycoside	Gentamicin	15117923	Enzymatic modification	curated	
aac(3)-If_1_AY884051	aac(3)-If	aac	Aminoglycoside	Aminoglycoside	Gentamicin	unpublished	Enzymatic modification	curated	
aac(3)-Ig_1_CP000282	aac(3)-Ig	aac	Aminoglycoside	Aminoglycoside	Gentamicin	18516288	Enzymatic modification	curated	
aac(3)-Ih_1_CP000490	aac(3)-Ih	aac	Aminoglycoside	Aminoglycoside	Gentamicin	unpublished	Enzymatic modification	curated	
aac(3)-Ii_1_CP000356	aac(3)-Ii	aac	Aminoglycoside	Aminoglycoside	Gentamicin	19805210	Enzymatic modification	curated	
aac(3)-IIa_1_X51534	aac(3)-IIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	2552900	Enzymatic modification	curated	
aac(3)-IIb_1_M97172	aac(3)-IIb	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	1444303	Enzymatic modification	curated	
aac(3)-IIc_1_X54723	aac(3)-IIc	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IId_1_EU022314	aac(3)-IId	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	20185552	Enzymatic modification	curated	
aac(3)-IIe_1_EU022315	aac(3)-IIe	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	20185552	Enzymatic modification	curated	
aac(3)-IIIa_1_X55652	aac(3)-IIIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	1649572	Enzymatic modification	curated	
aac(3)-IIIb_1_L06160	aac(3)-IIIb	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IIIc_1_L06161	aac(3)-IIIc	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(3)-IVa_1_X01385	aac(3)-IVa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	6318050	Enzymatic modification	curated	
aac(3)-VIa_1_M88012	aac(3)-VIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin	8257126	Enzymatic modification	curated	
aac(3)-VIIa_1_M22999	aac(3)-VIIa	aac	Aminoglycoside	Aminoglycoside		2914849	Enzymatic modification	curated	
aac(3)-VIIIa_1_M55426	aac(3)-VIIIa	aac	Aminoglycoside	Aminoglycoside		2060791	Enzymatic modification	curated	
aac(3)-IXa_1_M55427	aac(3)-IXa	aac	Aminoglycoside	Aminoglycoside		2060791	Enzymatic modification	curated	
aac(3)-Xa_1_AB028210	aac(3)-Xa	aac	Aminoglycoside	Aminoglycoside	Amikacin	unpublished	Enzymatic modification	curated	
aac(6')-Ia_1_M18967	aac(6')-Ia	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	2826403	Enzymatic modification	Alternative name aacA1, curated	
aac(6')-Ib_1_M21682	aac(6')-Ib	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	2841303	Enzymatic modification	Alternative name aacA4, aac(6')-4, curated	
aac(6')-Ic_1_M94066	aac(6')-Ic	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	1354954	Enzymatic modification	curated	
aac(6')-If_1_X55353	aac(6')-If	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	2069376	Enzymatic modification	curated	
aac(6')-Ig_1_L09246	aac(6')-Ig	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	8257129	Enzymatic modification	curated	
aac(6')-Ih_1_L29044	aac(6')-Ih	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	7810994	Enzymatic modification	curated	
aac(6')-Ij_1_L29045	aac(6')-Ij	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	7810994	Enzymatic modification	curated	
aac(6')-Ik_1_L29510	aac(6')-Ik	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	8001769	Enzymatic modification	curated	
aac(6')-Ip_1_Z54241	aac(6')-Ip	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	9021185	Enzymatic modification	Alternative name aac(6')-Il, aacA16, curated	
aac(6')-Im_1_AF337947	aac(6')-Im	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	11557456	Enzymatic modification	curated	
aac(6')-Iq_1_AF047556	aac(6')-Iq	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	9624504	Enzymatic modification	Alternative name aacA17, curated	
aac(6')-Ir_1_AF031326	aac(6')-Ir	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Is_1_AF031327	aac(6')-Is	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-It_1_AF031328	aac(6')-It	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iu_1_AF031329	aac(6')-Iu	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iv_1_AF031330	aac(6')-Iv	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iw_1_AF031331	aac(6')-Iw	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Iz_1_AF140221	aac(6')-Iz	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	10508008	Enzymatic modification	curated	
aac(6')-Iad_1_AB119105	aac(6')-Iad	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	15155202	Enzymatic modification	curated	
aac(6')-Iae_1_AB104852	aac(6')-Iae	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	16127047	Enzymatic modification	Alternative name aacA28, curated	
aac(6')-Iaf_1_AB462903	aac(6')-Iaf	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	19349516	Enzymatic modification	Alternative name aacA41, curated	
aac(6')-Iai_1_EU886977	aac(6')-Iai	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	unpublished	Enzymatic modification	Alternative name aacA39, curated	
aac(6')-I30_1_AY289608	aac(6')-I30	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	15231768	Enzymatic modification	Alternative name aacA30, curated	
aac(6')-31_1_AM283489	aac(6')-31	aac	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	17470660	Enzymatic modification	Alternative name aacA31, curated	
aac(6')-32_1_EF614235	aac(6')-32	aac	Aminoglycoside	Aminoglycoside	Tobramycin	17938181	Enzymatic modification	"curated, gentamicin; Alternative name aacA32, reduced susceptiblity to amikacin"	
aac(6')-33_1_GQ337064	aac(6')-33	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	19738007	Enzymatic modification	Alternative name aacA42, curated	
aac(6')-IIa_1_M29695	aac(6')-IIa	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	2515793	Enzymatic modification	curated	
aac(6')-IIb_1_L06163	aac(6')-IIb	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	unpublished	Enzymatic modification	curated	
aac(6')-IIc_1_NC_012555	aac(6')-IIc	aac	Aminoglycoside	Aminoglycoside	Gentamicin, Tobramycin	19075060	Enzymatic modification	curated	
aac(6')-aph(2'')_1_M13771	aac(6')-aph(2'')	aac	Aminoglycoside	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	3015884	Enzymatic modification	Alternative name aac(6')-bifunctional, aac(6')-Ie, aac(6')-Ie-aph(2'')-Ia, aacA-aphD, curated	
aac(6')-Isa_1_AB116646	aac(6')-Isa	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	15625322	Enzymatic modification	curated	
aac(6')-Ib3_1_X60321	aac(6')-Ib3	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	1331747	Enzymatic modification	Alternative name aac(6')-Ib5, curated	
aacA43_1_HQ247816	aacA43	aac	Aminoglycoside	Aminoglycoside	Amikacin, Tobramycin	21422220	Enzymatic modification	curated	
ant(3'')-Ia_1_X02340	ant(3'')-Ia	ant	Aminoglycoside	Aminoglycoside	Streptomycin	8385262	Enzymatic modification	Alternative name aadA, aad(3')(9), aadA1, aadA1a, curated	
aadA1_2_FJ591054	aadA1	aad	Aminoglycoside	Aminoglycoside	Streptomycin	19243438	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA1_3_JQ414041	aadA1	aad	Aminoglycoside	Aminoglycoside	Streptomycin	23180481	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA1b_1_M95287	aadA1b	aad	Aminoglycoside	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	Alternative name aadA2, curated	
aadA1_4_JQ480156	aadA1	aad	Aminoglycoside	Aminoglycoside	Streptomycin	22486636	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA1_5_JX185132	aadA1	aad	Aminoglycoside	Aminoglycoside	Streptomycin	23934739	Enzymatic modification	Alternative name ant(3'')-Ia, curated	
aadA2_2_JQ364967	aadA2	aad	Aminoglycoside	Aminoglycoside	Streptomycin	22511964	Enzymatic modification	curated	
aadA3_1_AF047479	aadA3	aad	Aminoglycoside	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA4_1_Z50802	aadA4	aad	Aminoglycoside	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA5_1_AF137361	aadA5	aad	Aminoglycoside	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA6_1_AF140629	aadA6	aad	Aminoglycoside	Aminoglycoside	Streptomycin	10673049	Enzymatic modification	curated	
aadA7_1_AF224733	aadA7	aad	Aminoglycoside	Aminoglycoside	Streptomycin	10817710	Enzymatic modification	curated	
aadA8_1_AF326210	aadA8	aad	Aminoglycoside	Aminoglycoside	Streptomycin	11557503	Enzymatic modification	curated	
aadA8b_2_AM040708	aadA8b	aad	Aminoglycoside	Aminoglycoside	Streptomycin	16291869	Enzymatic modification	curated	
aadA9_1_AJ420072	aadA9	aad	Aminoglycoside	Aminoglycoside	Streptomycin	12383729	Enzymatic modification	curated	
aadA10_1_U37105	aadA10	aad	Aminoglycoside	Aminoglycoside	Streptomycin	12121911	Enzymatic modification	curated	
aadA11_1_AY144590	aadA11	aad	Aminoglycoside	Aminoglycoside	Streptomycin	16451415	Enzymatic modification	curated	
aadA12_1_AY665771	aadA12	aad	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
aadA13_1_AY713504	aadA13	aad	Aminoglycoside	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
aadA14_1_AJ884726	aadA14	aad	Aminoglycoside	Aminoglycoside	Streptomycin	15980396	Enzymatic modification	curated	
